Main actor FB likes,Total cast FB likes,Num voted users,Num Reviews (Users),Num Reviews (Critics),Movie FB likes,Gross,Budget,Duration,Imdb score,Title year
907,2471,28257,151,211,11000,25863915,35000000,101,5.1,2012
8000,10938,164608,383,224,10000,35063732,32000000,98,6.4,2007
2000,4868,36666,144,97,0,30222640,25000000,94,5.3,2003
11000,13877,461609,1168,302,34000,27000000,28000000,117,8.2,1982
40000,41636,124765,541,208,0,31598308,35000000,122,6.8,2001
510,1976,19176,165,95,956,33927476,40000000,110,5.7,1997
11000,13495,1689764,4144,199,108000,28341469,25000000,142,9.3,1994
20000,20798,19709,167,92,0,27338033,23000000,97,6.1,2001
2000,4059,47297,86,138,16000,42385520,30000000,107,6.2,2010
510,1976,19176,165,95,956,33927476,40000000,110,5.7,1997
11000,12785,9283,112,64,592,23209440,30000000,127,7,1998
913,2449,97087,569,144,11000,27400000,40000000,177,6.6,1984
11000,13189,136673,281,324,10000,31838002,20000000,128,7.6,2008
731,1987,77935,122,220,0,37053924,28000000,83,6.1,2011
3000,3757,39357,113,159,14000,28831145,25000000,110,6.8,2014
14000,28927,136093,416,303,24000,42615685,40000000,136,6.1,2014
8000,10938,164608,383,224,10000,35063732,32000000,98,6.4,2007
18000,20772,23579,88,44,0,24048000,30000000,106,5.5,1995
1000,3389,6476,71,98,0,30920167,25000000,118,5.7,2012
860,2609,136048,700,233,0,32774834,30000000,98,7.2,2004
2000,4045,81866,510,168,0,44983704,31000000,118,7.3,2000
869,3854,88518,409,111,0,38232624,30000000,86,2.7,2008
20000,34011,304318,463,360,52000,37553932,40000000,109,6.7,2011
1000,4537,15046,80,44,638,37788228,35200000,95,5.4,2003
141,389,12276,117,122,21000,36874745,20000000,107,6.3,2016
446,966,8143,203,122,0,37617947,30000000,101,6.8,2006
125,189,105797,281,292,0,29975979,20000000,98,6.5,2009
2000,4662,54242,145,156,14000,34290142,19800000,103,6.6,2014
20000,77823,84357,252,169,0,26814957,35000000,115,6.7,2008
26000,28643,166610,211,230,0,36064910,45000000,111,6.4,2008
26000,28643,166610,211,230,0,36064910,45000000,111,6.4,2008
12000,37570,56509,227,77,0,44175394,36000000,155,7.2,1997
1000,2965,20688,47,25,0,35617599,45000000,96,5.9,1995
11000,11248,243799,908,285,0,34300771,25000000,143,7.5,2006
618,1095,58297,161,112,0,21835784,30000000,107,6.6,2005
955,5404,44816,259,148,0,37036404,30000000,128,6.4,2000
3000,4565,12093,188,100,394,29374178,40000000,107,5.1,2000
11000,11248,243799,908,285,0,34300771,25000000,143,7.5,2006
585,1165,26066,216,69,0,40118420,30000000,104,5.6,2002
14000,16125,34427,126,44,0,31600000,28000000,139,6.9,1995
18000,19689,31751,216,91,0,25078937,30000000,155,6.6,1997
18000,23344,27378,365,122,0,33000377,28000000,99,4.9,2000
970,3770,30667,234,98,0,39177215,38000000,115,5.6,2002
919,2024,113068,337,166,0,37567440,20000000,129,6.9,1982
10000,13371,44788,138,219,23000,34531832,35000000,123,7.1,2015
2000,3917,11212,94,69,874,36985501,26000000,94,5.2,2002
13000,16031,52888,175,248,0,33313582,21000000,108,6.5,2009
2000,3753,25346,167,110,470,30199105,40000000,116,5.7,2000
18000,23920,95860,660,157,16000,33508922,40000000,123,7.2,2000
31000,34319,50337,177,153,13000,32014289,20000000,88,3.5,2013
31000,34319,50337,177,153,13000,32014289,20000000,88,3.5,2013
13000,16031,52888,175,248,0,33313582,21000000,108,6.5,2009
14000,16125,34427,126,44,0,31600000,28000000,139,6.9,1995
49000,50927,87331,364,148,18000,31655091,30000000,114,7.5,2007
