Num Reviews (Critics),Gross,Num voted users,Num Reviews (Users),Movie facebook likes
211,25863915,28257,151,11000
224,35063732,164608,383,10000
97,30222640,36666,144,0
302,27000000,461609,1168,34000
208,31598308,124765,541,0
95,33927476,19176,165,956
199,28341469,1689764,4144,108000
92,27338033,19709,167,0
138,42385520,47297,86,16000
95,33927476,19176,165,956
64,23209440,9283,112,592
144,27400000,97087,569,11000
324,31838002,136673,281,10000
220,37053924,77935,122,0
159,28831145,39357,113,14000
303,42615685,136093,416,24000
224,35063732,164608,383,10000
44,24048000,23579,88,0
98,30920167,6476,71,0
233,32774834,136048,700,0
168,44983704,81866,510,0
111,38232624,88518,409,0
360,37553932,304318,463,52000
44,37788228,15046,80,638
122,36874745,12276,117,21000
122,37617947,8143,203,0
292,29975979,105797,281,0
156,34290142,54242,145,14000
169,26814957,84357,252,0
230,36064910,166610,211,0
230,36064910,166610,211,0
77,44175394,56509,227,0
25,35617599,20688,47,0
285,34300771,243799,908,0
112,21835784,58297,161,0
148,37036404,44816,259,0
100,29374178,12093,188,394
285,34300771,243799,908,0
69,40118420,26066,216,0
44,31600000,34427,126,0
91,25078937,31751,216,0
122,33000377,27378,365,0
98,39177215,30667,234,0
166,37567440,113068,337,0
219,34531832,44788,138,23000
69,36985501,11212,94,874
248,33313582,52888,175,0
110,30199105,25346,167,470
157,33508922,95860,660,16000
153,32014289,50337,177,13000
153,32014289,50337,177,13000
248,33313582,52888,175,0
44,31600000,34427,126,0
148,31655091,87331,364,18000
329,292000866,355137,1108,0
258,317557891,444683,1571,16000
389,281666058,166137,383,38000
323,256386216,530870,1413,11000
476,93050117,338087,814,61000
102,100685880,100821,554,0
191,124870275,152601,156,0
436,113165635,229823,504,31000
200,108638745,292022,1103,10000
252,132014112,399651,1331,0
198,125531634,284852,627,0
141,89296573,128285,297,0
217,88761720,141179,419,9000
80,100117603,102933,230,0
703,623279547,995415,1722,123000
160,70327868,58416,301,0
231,89706988,126746,600,0
213,80574010,63493,302,26000
142,93607673,47573,343,881
160,70117571,56741,515,1000
166,67128202,43328,110,0
64,67823573,91176,130,0
310,75280058,143121,279,10000
142,83892374,85720,297,0
111,87666629,283480,263,0
355,83552429,154955,800,25000
252,94125426,79264,277,13000
233,95308367,206104,850,0
310,84244877,375456,292,44000
55,81022333,34471,147,0
213,71423726,123558,609,19000
114,93815117,68417,242,0
152,69304264,73068,419,0
171,75530832,97047,452,0
178,77086030,65297,602,0
152,69304264,73068,419,0
60,82670733,60476,97,0
40,68208190,60572,144,0
310,75280058,143121,279,10000
230,88504640,273108,646,0
81,6241697,16059,210,0
111,26345,16445,99,0
251,3645438,55040,539,0
160,1984378,27346,206,0
88,110536,4117,118,0
60,317040,6723,36,1000
81,8134217,15412,90,0
663,12784397,70336,269,31000
195,4231500,30479,162,16000
8,2712293,475,11,123
35,4131640,5463,20,140
30,3275585,10735,88,561
59,2073984,4743,135,219
71,10018,3228,31,244
12,12836,1686,28,161
101,9000000,7584,137,0
116,864959,20275,151,0
39,5871603,3116,39,251
163,2445646,32382,99,13000
81,1980338,12366,151,507
149,2338695,134070,263,0
13,5199,720,23,30
231,9203192,45396,136,15000
88,11883495,52805,278,0
110,7022940,14018,190,682
75,5844929,6000,109,595
115,1243961,13421,34,0
50,2892582,22697,202,0
67,313436,12244,95,0
121,2426851,16224,76,830
349,610968,170155,249,60000
242,4443403,70194,158,14000
37,326308,6632,69,225
21,1953732,4996,62,843
217,66637,29608,92,0
111,3193102,24412,240,944
34,12793213,18286,73,0
63,143000,4122,48,0
38,594904,2582,89,0
35,4394936,11439,190,901
16,982214,1976,51,603
65,2955039,3624,27,313
18,379643,1573,29,285
110,7022940,14018,190,682
43,302204,6705,53,167
114,1325073,18762,91,708
163,4046737,67949,390,15000
111,13367101,19715,166,515
447,225377,70382,190,33000
254,1821983,31089,261,20000
54,985341,3479,87,180
193,59379,12796,52,0
94,9473382,26832,247,0
20,5561,4995,34,160
120,4306697,26720,196,920
43,5669081,3665,57,0
79,578527,20008,112,883
211,5792822,168398,492,13000
113,389804,11816,35,0
74,49526,16299,129,1000
17,3273588,4195,50,0
18,379643,1573,29,285
61,9054736,5744,57,381
177,10515579,66840,248,0
81,112935,8161,94,484
71,2938208,7143,52,865
58,6739141,23383,68,1000
78,37606,31836,90,0
152,128486,26156,74,0
182,4244155,56005,112,0
198,5484375,84641,205,0
64,146402,9913,38,0
60,5480318,9427,79,462
415,5009677,260607,485,47000
32,127144,5159,27,143
70,3500000,10082,100,0
9,703,480,21,47
18,13493,531,19,51
71,4186931,6041,85,169
43,226792,3080,44,117
283,727883,580999,2110,33000
53,13300000,12631,63,0
88,11883495,52805,278,0
405,8114507,95362,270,62000
29,1332,2038,20,898
114,8373585,39680,308,0
75,5844929,6000,109,595
46,10161099,23441,108,0
133,532988,5863,25,0
192,5501940,248354,564,14000
93,3049135,50197,265,0
34,75078,1398,26,132
84,274661,10564,40,0
91,2882062,5178,101,132
47,104257,19194,160,0
71,4186931,6041,85,169
9,902835,1489,40,133
52,2483955,8369,165,957
20,39852,1238,25,117
123,548934,16863,57,0
17,126247,24958,103,321
279,258113,42678,135,0
216,11434867,59637,130,21000
10,444044,744,19,1000
49,3071947,18711,183,0
125,7825820,13086,156,576
103,236266,15104,290,0
67,6851636,13010,182,0
29,9628751,5164,65,207
214,7563397,533200,749,28000
149,3588432,29341,93,0
92,410241,32357,199,3000
60,1420578,4894,122,298
38,860002,6454,43,0
75,399879,5772,115,302
74,49526,16299,129,1000
35,4131640,5463,20,140
75,5844929,6000,109,595
59,6157157,21416,198,0
33,6491350,1231,26,49
31,399793,2877,70,111
48,1227324,6921,48,344
108,2506446,8662,172,134
132,6754898,20000,188,0
217,66637,29608,92,0
101,9000000,7584,137,0
29,155984,586,9,0
149,4946250,9540,80,14000
101,9000000,7584,137,0
49,1631839,5936,91,242
16,2833383,910,11,0
50,101228,7228,53,414
31,399793,2877,70,111
106,2365931,36657,318,0
377,9701559,141425,283,25000
337,5997134,36381,126,11000
64,3100650,7277,181,231
110,7022940,14018,190,682
78,1779284,12047,122,677
31,287761,2482,16,0
129,3093491,8307,37,5000
36,223878,3548,21,282
2,1000000,524,8,76
128,3076425,23660,162,0
4,425899,1123,31,638
36,10246600,6375,36,265
271,4007792,101287,260,31000
49,10017041,8265,20,545
163,2445646,32382,99,13000
74,13350177,7904,113,562
47,75727,5699,40,0
