Color,Num Reviews (Critics),Duration,Main actor facebook likes,Gross,Num voted users,Total cast facebook likes,Num Reviews (Users),Language,Country, Content rating,Budget,Title year,Imdb score,Aspect ratio,Movie facebook likes
1,211,101,907,25863915,28257,2471,151,17,6,9,35000000,2012,5.1,2.35,11000
1,224,98,8000,35063732,164608,10938,383,17,6,12,32000000,2007,6.4,2.35,10000
1,97,94,2000,30222640,36666,4868,144,17,6,9,25000000,2003,5.3,1.85,0
1,302,117,11000,27000000,461609,13877,1168,17,6,12,28000000,1982,8.2,2.35,34000
1,208,122,40000,31598308,124765,41636,541,17,6,12,35000000,2001,6.8,2.35,0
1,95,110,510,33927476,19176,1976,165,17,63,12,40000000,1997,5.7,2.35,956
1,199,142,11000,28341469,1689764,13495,4144,17,6,12,25000000,1994,9.3,1.85,108000
1,92,97,20000,27338033,19709,20798,167,17,6,9,23000000,2001,6.1,1.85,0
1,138,107,2000,42385520,47297,4059,86,17,6,9,30000000,2010,6.2,1.85,16000
1,95,110,510,33927476,19176,1976,165,17,63,12,40000000,1997,5.7,2.35,956
1,64,127,11000,23209440,9283,12785,112,17,6,12,30000000,1998,7,1.85,592
1,144,177,913,27400000,97087,2449,569,17,6,9,40000000,1984,6.6,2.35,11000
1,324,128,11000,31838002,136673,13189,281,17,6,12,20000000,2008,7.6,1.85,10000
1,220,83,731,37053924,77935,1987,122,17,33,12,28000000,2011,6.1,2.35,0
1,159,110,3000,28831145,39357,3757,113,17,6,12,25000000,2014,6.8,2.35,14000
1,303,136,14000,42615685,136093,28927,416,17,6,12,40000000,2014,6.1,2.35,24000
1,224,98,8000,35063732,164608,10938,383,17,6,12,32000000,2007,6.4,2.35,10000
1,44,106,18000,24048000,23579,20772,88,17,6,12,30000000,1995,5.5,2.35,0
1,98,118,1000,30920167,6476,3389,71,17,6,9,25000000,2012,5.7,2.35,0
1,233,98,860,32774834,136048,2609,700,17,6,12,30000000,2004,7.2,2.35,0
1,168,118,2000,44983704,81866,4045,510,17,6,9,31000000,2000,7.3,2.35,0
1,111,86,869,38232624,88518,3854,409,17,6,9,30000000,2008,2.7,1.85,0
1,360,109,20000,37553932,304318,34011,463,17,6,9,40000000,2011,6.7,2.35,52000
1,44,95,1000,37788228,15046,4537,80,17,6,9,35200000,2003,5.4,1.85,638
1,122,107,141,36874745,12276,389,117,17,6,9,20000000,2016,6.3,2.35,21000
1,122,101,446,37617947,8143,966,203,17,6,14,30000000,2006,6.8,2.35,0
1,292,98,125,29975979,105797,189,281,17,23,12,20000000,2009,6.5,2.35,0
1,156,103,2000,34290142,54242,4662,145,17,6,12,19800000,2014,6.6,2.35,14000
1,169,115,20000,26814957,84357,77823,252,17,63,9,35000000,2008,6.7,1.85,0
1,230,111,26000,36064910,166610,28643,211,17,6,12,45000000,2008,6.4,2.35,0
1,230,111,26000,36064910,166610,28643,211,17,6,12,45000000,2008,6.4,2.35,0
1,77,155,12000,44175394,56509,37570,227,17,6,12,36000000,1997,7.2,1.85,0
1,25,96,1000,35617599,20688,2965,47,17,6,14,45000000,1995,5.9,1.85,0
1,285,143,11000,34300771,243799,11248,908,17,11,12,25000000,2006,7.5,1.85,0
1,112,107,618,21835784,58297,1095,161,17,6,9,30000000,2005,6.6,1.85,0
1,148,128,955,37036404,44816,5404,259,17,6,9,30000000,2000,6.4,1.85,0
1,100,107,3000,29374178,12093,4565,188,17,6,12,40000000,2000,5.1,2.35,394
